1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,10,8,8,8,8,8,8,8,8,8,8,8,8,11,1,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,1,1,1,1,1,1,1,10,8,8,8,8,8,8,11,10,8,8,8,8,11,1,1,1,1,1,
1,1,1,1,1,6,22,14,14,20,21,21,21,21,21,21,21,21,5,1,6,31,31,31,32,32,32,32,32,32,32,31,31,31,31,5,1,1,1,1,1,1,1,6,23,21,21,21,21,24,5,6,31,33,31,33,5,1,1,1,1,1,
1,1,1,1,1,6,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27,31,33,31,32,32,32,32,32,32,31,31,31,31,31,27,27,27,27,27,27,27,27,27,27,14,14,14,14,18,5,12,4,31,33,31,5,1,1,1,1,1,
1,1,1,1,1,6,14,14,14,14,14,14,14,14,14,14,14,14,27,27,27,31,31,31,32,32,32,32,32,32,31,31,33,31,31,5,1,1,1,1,1,1,10,9,25,16,16,17,14,18,7,11,12,3,4,31,5,1,1,1,1,1,
1,1,1,1,1,6,17,14,14,15,16,16,16,16,16,16,16,16,5,1,6,31,31,33,32,32,32,32,32,31,31,31,31,31,2,13,1,1,1,1,1,1,6,32,32,32,31,19,14,18,31,7,8,11,12,3,13,1,1,1,1,1,
